id,name,content,image,country
1,에티오피아 아라비카,고산지에서 재배되 풍미가 좋고 카페인 함량이 낮아 하루에 커피를 2~3잔씩 마시는 이들도 부담없이 즐길 수 있습니다.,https://www.comunicaffe.com/wp-content/uploads/2016/02/Ethiopia-coffee-hands.jpeg,Ethiopia
2,과테말라 아라비카,"높은 일교차, 습도차가 만들어 내는 단단한 양질의 커피입니다. 화산재 토양이 만들어 내는 스모키한 향미를 풍기는 묵직한 남자의 커피입니다.",http://src.hidoc.co.kr/image/lib/2017/11/20/20171120100630143_0.jpg,Guatemala
3,산토스,산토스는 브라질 상파울로에 있는 세계 최대의 커피 수출항으로 보통 브라질 커피를 일컫는 말입니다. 수분으로 발효가 되어 맛이 풍부하며 중후하고 균형된 맛을 가지고 있어 블렌딩을 위한 에스프레스 베이스로 많이 사용됩니다.,http://cfile234.uf.daum.net/image/1455143350E24E2D1ED8C0,Brazil
4,파카마라라,"파마스와 마라고지페를 인공교배하여 만든 고급 원두품종입니다.엘사바도르 커피는 주변국가들에서 생산되는 커피에 비해 원두 무게가 가볍고 산도가 그리 강하지 않지만 신맛과 쓴맛이 조화를 이루는, 부드러우면서 달콤한 초콜릿 향과 맛을 가지고 있다는 평가를 받고 있습니다.",http://mblogthumb1.phinf.naver.net/MjAxNjEyMDdfNDAg/MDAxNDgxMDk2MDMyMjQ3.yGx4FOQrnRAM9FllWXSTdlgc1NDMTNWWXXX4MIY-sLAg.ErC-h1FTGEJVICY78mJYc3P-QyZpmFSFXMV7MStbascg.JPEG.enbi806/tagging20to20identify20lots20on20patio.jpg?type=w2,El Salvador
5,인도 아라비카,올드 브라운 자바 커피로 유명한 인도 커피는 황금빛을 띠는 노란색으로 숙성되고 독특한 향미와 진한 맛을 가지고 있습니다.,http://mblogthumb3.phinf.naver.net/20151102_90/indiecoffeezip_1446446637389Qk1tL_JPEG/%BE%C6%B6%F3%BA%F1%C4%AB_%C4%BF%C7%C7.jpg?type=w2,India
6,후일라 수프리모,콜롬비아 후일라 수프리모는 초콜릿과 헤이즐넛향을 느낄수 있으며 부드러운맛이 일품인 커피입니다. 커피의 밸런스가 좋은 편이라서 호불호없이 누구나 좋아할만한 커피입니다. 산미가 거의 느껴지지 않아서 신맛을 좋아하지 않는 우리나라 사람들의 입맛에 잘 맞는 원두라고 할수 있습니다.,https://t1.daumcdn.net/cfile/tistory/995B6C4D5B84001C08,Colombia
7,산타로사수프리모,콜롬비아 산타로사 수프리모는 기분 좋은 향기와 훌륭한 바디감으로 고급스러운 스페셜티입니다. 아라비카원두와 로부스타원두의 장점을 결합한 카스틸로 원두입니다. 새로운 품종으로 많이 알려져 있지 않은 원두로 콜롬비아 정부의 노력으로 탄생한 원두로 꽃향기와 깔끔한 끝맛까지 있는 새로운 원두입니다.,https://t1.daumcdn.net/cfile/tistory/999E72475B8400882A,Colombia
8,라 프란시아 수프리모,밀크초콜릿같은 달콤함과 실크처럼 부드러운 바디감이 특징적인 원두입니다. 밸런스가 잘 맞으면서 달콤함까지 가지고 있는 커피로써 맛보기 전에는 밀크초콜릿같다는 느낌을 이해하지 못했는데 정말 맛보지 않고는 설명하기 어려운 고급스러운 맛입니다. 커피에 우유가 들어간것도 아닌데 입안에서 감기는 부드러운 느낌이 인상적인 커피입니다.,https://t1.daumcdn.net/cfile/tistory/99AFF94F5B8400B719,Colombia
9,모카 마타리,"다크 초콜렛의 맛이 풍부하고 정교하며, 기품이 있어 아주 오래 묵은 레드와인의 맛입니다.",http://www.cafedorei.com/design/cafedorei/images/product/mattari_img.jpg,Yemen
10,블루마운틴,"깨끗한 맛, 달콤한 맛, 부드러운 맛, 그리고 거의 없는 쓴맛등 각 커피의 맛을 가진 아라비카 원두입니다.",http://www.cafedorei.com/design/cafedorei/images/product/bluemountain_img.jpg,Jamaica
11,이르가체페,"산미와 고소함의 양상이 무척 독특한 커피입니다. 한 모금 마시고 나면 혀의 양 옆에 찌르르한 느낌이 오는데, 뒷 맛의 인상이 감귤의 신맛을 닮았습니다.",https://t1.daumcdn.net/cfile/tistory/21116B4F520E37712E,Ethiopia
12,자바,자바 섬에서 재배되는 원두로 인도네시아 커피는 바디가 좋은 몸짱(?) 커피 입니다. 맹숭맹숭한 커피가 싫으시다면 인도네시아 커피를 꼭 드셔보시길 바랍니다.,http://happy-coffee.kr/shopimages/hp7610/mobile/0/877490_represent,Indonesia
13,수마트라 만델링,인도네시아 섬 중 하나인 수마트라 섬의 특별한 토양에서 자란 수마트라 만델링 원두입니다. 수마트라 섬의 특별한 토양에서 생산되어 초콜릿맛과 달콤한 향을 느낄 수 있습니다.,http://image.auction.co.kr/itemimage/e9/bd/df/e9bddfec6.jpg,Indonesia
14,더블에이 케냐,"유럽인들이 가장 선호하는 커피로 더블에는 케냐 지역에서 가장 크기가 큰 최고급 커피원두에 부여하는 등급입니다. 강렬한 향이 완벽하게 조화를 이루고 오묘한 과일향, 가볍지 않은 알싸한 신맛, 짙은 향미가 매력적인 원두입니다.",https://www.google.com/url?sa=i&source=images&cd=&ved=2ahUKEwiuxuuBqcDlAhWRZt4KHQ45AZIQjRx6BAgBEAQ&url=http%3A%2F%2Fm.karmacoffee.co.kr%2Fproduct%2F%25EC%25BC%2580%25EB%2583%2590-aa-top-%25EC%259B%2590%25EB%2591%2590%2F44%2Fcategory%2F1%2Fdisplay%2F5%2F&psig=AOvVaw2MBBeIELFKicR-_9D0wDFT&ust=1572399025437991,Kenya
15,마라와카,"세계청정지역 중 하나인 파우아뉴기니 밀림 숲 속 자연상태에서 재배한 유기농 커피로 유명합니다. 상큼한 신맛과 부드러운 맛은 자메이카 블루마운틴과 비교하여 뒤쳐지지 않는 평을 받습니다. 특히 중후하고 풍부한 향, 달콤하고 견과류같은 단맛 그리고 과육 고유의 독특한 신맛의 밸런스가 조화롭습니다.",http://gdimg.gmarket.co.kr/542206019/still/600?ver=0,PapuaNewGuinea
16,타라주,아라비카 종만 재배하는 코스타리카는 아라비카 원두의 생산량이 가장 높습니다. 상쾌한 신맛과 부드러운 고급 화이트와인 같은 뒷맛이 느껴지면서 적절한 바디감과 꽃 향기처럼 입안에 남는 향기로운 감칠맛이 일품입니다.,http://cfile224.uf.daum.net/R400x0/99E863355CD6ADC030F1F4,CostaRica
17,카라콜리,커피 열매에 생두가 1개마 있는 것으로 커피의 진주로 불립니다. 톡 쏘는 신맛과 산뜻한 아로마 향을 느낄 수 있습니다.,http://mblogthumb4.phinf.naver.net/MjAxNzA0MThfMjc4/MDAxNDkyNDQyNzEyNzc4.PB0GnynLRXtXC4F4XzrH68-QejOzfVVpbFoMeBMpKEcg.YSuHmgYsW0sa35IUUJDSrTK_ikwaxDg-2wLxWjuiQ2Ig.JPEG.leesir8811/%EC%BD%94%EC%8A%A4%ED%83%80%EB%A6%AC%EC%B9%B4_%EC%BB%A4%ED%94%BC.jpg?type=w800,CostaRica
18,트레리오스,남성적인 향미를 가진 프랑스 보르도 지역의 와인 맛과 비슷합니다. 상큼한 신맛이 강하며 균형잡힌 바디감과 풍부한 아로마 향을 가집니다.,https://itpc-busan.kr/wp-content/uploads/2017/04/green-coffee-beans-in-a-bag.jpg,CostaRica
19,알투라 오리자바,멕시코 화산지대에서 재배되며 가볍고 옆은 초록빛을 띱니다. 부드러운 신맛과 중간 정도의 바디. 초콜릿과 유사한 향을 가지고 있습니다.,http://localsegye.co.kr/news/data/20171004/p1065587807075783_154_thum.jpg,Mexico
20,타파출라,멕시코 치아파스 지역에서 유기농으로 재배된됩니다. 고소한 향을 가지고 있으며 매콤한 향이 나기도 합니다.,http://mblogthumb1.phinf.naver.net/20150908_124/inkocafe_1441679725318xQ1SQ_JPEG/02.jpg?type=w2,Mexico
21,코아테펙,단맛이 강하여 단맛을 강조하는 블렌딩에 이용됩니다.,http://mblogthumb1.phinf.naver.net/20140205_24/ccubekorea_1391585240436m0fLo_JPEG/%B8%DF%BD%C3%C4%DA%BA%A3%B6%F3%C5%A9%B7%E7%C1%EE.jpg?type=w2,Mexico
22,플루마,부드러운 맛을 지닌 마일드 커피로 옅은 초콜릿 향을 가졌으며 신맛과 단맛의 조화로운 커피로 알려져 있습니다.,http://baristarules.maeil.com/wp-content/uploads/002-1.png,Mexico
23,리퀴담바,일반 생두보다 크기가 크고 맛도 좋습니다. 적절한 쓴맛과 어우러진 풍부한 바디를 가지고 있습니다.,http://baristarules.maeil.com/wp-content/uploads/4-26.jpg,Mexico
24,카투라,"개량종으로 절제된 산미, 좋은 단맛, 버터의 너티함과 카카오의 쓴맛이 어우러져 전체적으로 부드러우면서 무난한 향미입니다.",http://www.coffeebins.co.kr/images/page/m_bean_01.jpg,Peru
25,페주루,다크초콜릿의 쌉사리한 맛과 견과류의 고소하고 은은한 단맛이 어우러진 원두입니다.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQeN9ljnH9q_5X7feDeXMyUakrE5W3lbfFsx7nxZ35Y_TrowTXq&s,Zimbabwe